accepted_symbol,synonym_symbol,scientific_name,common_name,genus,family,family_common_name,order,subclass,class,subdivision,division,growth_habit,active_growth_period,fall_conspicuous,flower_color,flower_conspicuous,foliage_color,foliage_texture,fruit_conspicuous,growth_form,base_age_height,mature_height,leaf_retention,lifespan,shape_orientation,toxicity,coarse_soil,medium_soil,fine_soil,drought_tolerance,moisture_use,minimum_precipitation,maximum_precipitation,minimum_root_depth,shade_tolerance,bloom_period,fruit_seed_abundance,fruit_nut_period_begin,fruit_nut_period_end,fruit_seed_persistence,berry_nut_seed_product,fodder_product,palatable_human
CEPA9,,Cestrum parqui L'Hér.,Chilean jessamine,Cestrum,Solanaceae,Potato family,Solanales,Asteridae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHLI2,,Chilopsis linearis (Cav.) Sweet,desert willow,Chilopsis,Bignoniaceae,Trumpet-creeper family,Scrophulariales,Asteridae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub","Spring, Summer, Fall",No,Purple,Yes,Green,Medium,No,Multiple Stem,15,25,No,Short,Erect,None,Yes,No,No,High,Low,6,20,12,Intermediate,Late Spring,Medium,Summer,Fall,Yes,No,No,No
CHLIA,,Chilopsis linearis (Cav.) Sweet ssp. arcuata (Fosberg) Henrickson,desert willow,Chilopsis,Bignoniaceae,Trumpet-creeper family,Scrophulariales,Asteridae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHLIL2,,Chilopsis linearis (Cav.) Sweet ssp. linearis,desert willow,Chilopsis,Bignoniaceae,Trumpet-creeper family,Scrophulariales,Asteridae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAL8,,Chiococca alba (L.) Hitchc.,West Indian milkberry,Chiococca,Rubiaceae,Madder family,Rubiales,Asteridae,Magnoliopsida,,Magnoliophyta,"Vine, Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHVI3,,Chionanthus virginicus L.,white fringetree,Chionanthus,Oleaceae,Olive family,Scrophulariales,Asteridae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",Spring and Summer,No,White,Yes,Green,Medium,Yes,Multiple Stem,20,25,No,Short,Erect,None,Yes,Yes,No,Medium,High,35,60,20,Tolerant,Mid Spring,High,Summer,Summer,No,No,No,No
CICA,,Cinnamomum camphora (L.) J. Presl,camphortree,Cinnamomum,Lauraceae,Laurel family,Laurales,Magnoliidae,Magnoliopsida,,Magnoliophyta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIBE,,Citharexylum berlandieri B.L. Rob.,Berlandier's fiddlewood,Citharexylum,Verbenaceae,Verbena family,Lamiales,Asteridae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIAU8,,Citrus ×aurantium L. (pro sp.),sour orange,Citrus,Rutaceae,Rue family,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLBU,,Clerodendrum bungei Steud.,rose glorybower,Clerodendrum,Verbenaceae,Verbena family,Lamiales,Asteridae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIN,,Clerodendrum indicum (L.) Kuntze,turk's turbin,Clerodendrum,Verbenaceae,Verbena family,Lamiales,Asteridae,Magnoliopsida,,Magnoliophyta,"Subshrub, Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COGR7,,Colubrina greggii S. Watson,Sierra nakedwood,Colubrina,Rhamnaceae,Buckthorn family,Rhamnales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COHO,,Condalia hookeri M.C. Johnst.,Brazilian bluewood,Condalia,Rhamnaceae,Buckthorn family,Rhamnales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COHOE,,Condalia hookeri M.C. Johnst. var. edwardsiana (Cory) M.C. Johnst.,Edwards' bluewood,Condalia,Rhamnaceae,Buckthorn family,Rhamnales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COHOH,,Condalia hookeri M.C. Johnst. var. hookeri,Brazilian bluewood,Condalia,Rhamnaceae,Buckthorn family,Rhamnales,Rosidae,Magnoliopsida,,Magnoliophyta,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COER2,,Conocarpus erectus L.,button mangrove,Conocarpus,Combretaceae,Indian Almond family,Myrtales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COBO2,,Cordia boissieri A. DC.,anacahuita,Cordia,Boraginaceae,Borage family,Lamiales,Asteridae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODR,,Cornus drummondii C.A. Mey.,roughleaf dogwood,Cornus,Cornaceae,Dogwood family,Cornales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",Spring and Summer,Yes,White,Yes,Green,Medium,Yes,Multiple Stem,25,20,No,Long,Erect,None,No,Yes,Yes,Low,Low,32,55,20,Intermediate,Mid Spring,Medium,Summer,Fall,No,No,No,No
COFL2,,Cornus florida L.,flowering dogwood,Cornus,Cornaceae,Dogwood family,Cornales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",Spring and Summer,Yes,White,Yes,Green,Medium,Yes,Multiple Stem,20,30,No,Short,Erect,,Yes,Yes,No,Low,Low,28,80,18,Tolerant,Early Spring,Medium,Spring,Fall,Yes,No,No,No
COFO,,Cornus foemina Mill.,stiff dogwood,Cornus,Cornaceae,Dogwood family,Cornales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",Spring and Summer,Yes,White,Yes,Green,Fine,Yes,Thicket Forming,16,16,No,Moderate,Erect,None,No,Yes,Yes,Low,Medium,36,60,16,Intermediate,Mid Spring,Medium,Summer,Fall,Yes,No,No,No
COOB2,,Cotinus obovatus Raf.,American smoketree,Cotinus,Anacardiaceae,Sumac family,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRAN10,,Crataegus anamesa Sarg.,Fort Bend hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRBE2,,Crataegus berberifolia Torr. & A. Gray,barberry hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRBR,,Crataegus brachyacantha Sarg. & Engelm.,blueberry hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRBR4,,Crataegus brazoria Sarg.,Brazos hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRCA,,Crataegus calpodendron (Ehrh.) Medik.,pear hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRCR2,,Crataegus crus-galli L.,cockspur hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",Spring and Summer,Yes,White,Yes,Green,Medium,Yes,Single Stem,30,30,No,Long,Erect,None,Yes,Yes,Yes,High,Low,24,60,24,Intolerant,Late Spring,High,Summer,Fall,Yes,No,No,No
CRDA3,,Crataegus dallasiana Sarg.,Dallas hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREN,,Crataegus engelmannii Sarg.,Engelmann's hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRGR2,,Crataegus greggiana Eggl.,Gregg's hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRMA5,,Crataegus marshallii Eggl.,parsley hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",Spring and Summer,Yes,White,Yes,Green,Medium,Yes,Single Stem,25,25,No,Moderate,Erect,None,No,Yes,Yes,Low,Medium,34,60,18,Tolerant,Mid Spring,Medium,Summer,Fall,Yes,Yes,No,Yes
CRMO2,,Crataegus mollis Scheele,downy hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROP,,Crataegus opaca Hook. & Arn.,western mayhaw,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRPE13,,Crataegus pearsonii Ashe,Pearson's hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRPO,,Crataegus poliophylla Sarg.,elegant hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRRE3,,Crataegus reverchonii Sarg.,Reverchon's hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRRI,,Crataegus rivularis Nutt.,river hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRSP,,Crataegus spathulata Michx.,littlehip hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRST,,Crataegus stenosepala Sarg.,duke hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRSU6,,Crataegus sutherlandensis Sarg.,Sutherland hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRTE2,,Crataegus texana Buckley,Texas hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRTR,,Crataegus tracyi Ashe ex Eggl.,Tracy's hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRTU2,,Crataegus turnerorum Enquist,Turner's hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRUN,,Crataegus uniflora Münchh.,dwarf hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRVI,,Crataegus viburnifolia Sarg.,sawtooth hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRVI2,,Crataegus viridis L.,green hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",Spring and Summer,Yes,White,Yes,Yellow-Green,Fine,Yes,Multiple Stem,24,30,No,Long,Erect,None,No,Yes,Yes,Low,High,36,60,18,Intolerant,Early Spring,Medium,Spring,Fall,Yes,Yes,No,Yes
CRVID,,Crataegus viridis L. var. desertorum (Sarg.) Keeney & Enquist,desert hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRVIV2,,Crataegus viridis L. var. viridis,green hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRWA,,Crataegus warneri Sarg.,Warner's hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYIM2,,Cylindropuntia imbricata (Haw.) F.M. Knuth,tree cholla,Cylindropuntia,Cactaceae,Cactus family,Caryophyllales,Caryophyllidae,Magnoliopsida,,Magnoliophyta,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYIMA,,Cylindropuntia imbricata (Haw.) F.M. Knuth var. argentea (Anthony) Backeb.,tree cholla,Cylindropuntia,Cactaceae,Cactus family,Caryophyllales,Caryophyllidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYIMI,,Cylindropuntia imbricata (Haw.) F.M. Knuth var. imbricata,tree cholla,Cylindropuntia,Cactaceae,Cactus family,Caryophyllales,Caryophyllidae,Magnoliopsida,,Magnoliophyta,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYRA,,Cyrilla racemiflora L.,swamp titi,Cyrilla,Cyrillaceae,Cyrilla family,Ericales,Dilleniidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",Spring and Summer,Yes,Yellow,Yes,Yellow-Green,Coarse,No,Thicket Forming,20,30,Yes,Short,Erect,,Yes,Yes,Yes,Low,,40,70,24,Tolerant,Mid Summer,Low,Summer,Fall,No,No,No,No
DITE3,,Diospyros texana Scheele,Texas persimmon,Diospyros,Ebenaceae,Ebony family,Ebenales,Dilleniidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVI5,,Diospyros virginiana L.,common persimmon,Diospyros,Ebenaceae,Ebony family,Ebenales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Tree,Spring and Summer,Yes,Yellow,No,Dark Green,Medium,Yes,Single Crown,25,55,No,Long,Irregular,None,Yes,Yes,Yes,Medium,Medium,30,80,36,Tolerant,Late Spring,High,Summer,Winter,Yes,Yes,No,Yes
DUER,,Duranta erecta L.,golden dewdrops,Duranta,Verbenaceae,Verbena family,Lamiales,Asteridae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBEB,,Ebenopsis ebano (Berl.) Barneby & Grimes,Texas ebony,Ebenopsis,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EHAN,,Ehretia anacua (Terán & Berl.) I.M. Johnst.,knockaway,Ehretia,Boraginaceae,Borage family,Lamiales,Asteridae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELAN,,Elaeagnus angustifolia L.,Russian olive,Elaeagnus,Elaeagnaceae,Oleaster family,Rhamnales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",Spring and Summer,No,Yellow,Yes,White-Gray,Coarse,Yes,Single Stem,35,35,No,Long,Erect,None,Yes,Yes,No,High,High,12,40,20,Intolerant,Early Summer,High,Summer,Fall,Yes,No,No,Yes
ERHE4,,Erythrina herbacea L.,redcardinal,Erythrina,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Subshrub, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESBE,,Esenbeckia berlandieri Baill. ex Hemsl.,Berlandier's jopoy,Esenbeckia,Rutaceae,Rue family,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUAT5,,Euonymus atropurpureus Jacq.,burningbush,Euonymus,Celastraceae,Bittersweet family,Celastrales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUATA2,,Euonymus atropurpureus Jacq. var. atropurpureus,eastern wahoo,Euonymus,Celastraceae,Bittersweet family,Celastrales,Rosidae,Magnoliopsida,,Magnoliophyta,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUATC2,,Euonymus atropurpureus Jacq. var. cheatumii Lundell,eastern wahoo,Euonymus,Celastraceae,Bittersweet family,Celastrales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EYTE,,Eysenhardtia texana Scheele,Texas kidneywood,Eysenhardtia,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAGR,,Fagus grandifolia Ehrh.,American beech,Fagus,Fagaceae,Beech family,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Tree,Spring and Summer,Yes,Yellow,No,Green,Medium,No,Single Stem,30,80,No,Long,Erect,None,Yes,Yes,No,High,Medium,28,80,32,Tolerant,Mid Spring,Medium,Summer,Fall,Yes,Yes,No,Yes
FEWI,,Ferocactus wislizeni (Engelm.) Britton & Rose,candy barrelcactus,Ferocactus,Cactaceae,Cactus family,Caryophyllales,Caryophyllidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",Summer,No,Orange,Yes,Green,Coarse,Yes,Single Stem,4,11,No,Long,Climbing,None,Yes,Yes,No,High,Low,9,24,6,Intolerant,Late Spring,High,Summer,Summer,Yes,No,No,No
FICA,,Ficus carica L.,edible fig,Ficus,Moraceae,Mulberry family,Urticales,Hamamelididae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISI2,,Firmiana simplex (L.) W. Wight,Chinese parasoltree,Firmiana,Sterculiaceae,Cacao family,Malvales,Dilleniidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOAC,,Forestiera acuminata (Michx.) Poir.,eastern swampprivet,Forestiera,Oleaceae,Olive family,Scrophulariales,Asteridae,Magnoliopsida,,Magnoliophyta,"Shrub, Tree",Summer,No,Green,No,Green,Medium,No,Single Stem,30,33,No,Long,Erect,None,No,Yes,Yes,Low,High,35,50,12,Tolerant,Spring,Low,Spring,Summer,No,No,No,No
FOAN,,Forestiera angustifolia Torr.,Texas swampprivet,Forestiera,Oleaceae,Olive family,Scrophulariales,Asteridae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRBE2,,Frangula betulifolia (Greene) V. Grub.,beechleaf frangula,Frangula,Rhamnaceae,Buckthorn family,Rhamnales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRBEO,,Frangula betulifolia (Greene) V. Grub. ssp. obovata (Kearney & Peebles) Kartesz & Gandhi,obovate buckthorn,Frangula,Rhamnaceae,Buckthorn family,Rhamnales,Rosidae,Magnoliopsida,,Magnoliophyta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRCA13,,Frangula caroliniana (Walter) A. Gray,Carolina buckthorn,Frangula,Rhamnaceae,Buckthorn family,Rhamnales,Rosidae,Magnoliopsida,,Magnoliophyta,"Shrub, Tree",,No,Yellow,No,Green,Coarse,No,Single Crown,35,20,No,Short,Erect,,Yes,Yes,Yes,Low,,16,51,,Tolerant,Late Spring,,Summer,Fall,No,No,No,No
FRAL3,,Fraxinus albicans Buckley,Texas ash,Fraxinus,Oleaceae,Olive family,Scrophulariales,Asteridae,Magnoliopsida,,Magnoliophyta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAM2,,Fraxinus americana L.,white ash,Fraxinus,Oleaceae,Olive family,Scrophulariales,Asteridae,Magnoliopsida,,Magnoliophyta,Tree,Spring and Summer,Yes,Yellow,No,Green,Fine,Yes,Single Stem,40,90,No,Moderate,Erect,None,Yes,Yes,No,Low,High,28,80,40,Intolerant,Mid Spring,High,Summer,Fall,No,No,No,No
FRBE,,Fraxinus berlandieriana DC.,Mexican ash,Fraxinus,Oleaceae,Olive family,Scrophulariales,Asteridae,Magnoliopsida,,Magnoliophyta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRCA3,,Fraxinus caroliniana Mill.,Carolina ash,Fraxinus,Oleaceae,Olive family,Scrophulariales,Asteridae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",Spring,Yes,Green,No,Green,Coarse,No,Single Stem,39,39,No,Moderate,Erect,None,Yes,Yes,No,Low,High,36,65,12,Tolerant,Spring,Medium,Summer,Fall,No,No,No,No
FRCU,,Fraxinus cuspidata Torr.,fragrant ash,Fraxinus,Oleaceae,Olive family,Scrophulariales,Asteridae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRGR2,,Fraxinus greggii A. Gray,Gregg's ash,Fraxinus,Oleaceae,Olive family,Scrophulariales,Asteridae,Magnoliopsida,,Magnoliophyta,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRPA4,,Fraxinus papillosa Lingelsh.,Chihuahuan ash,Fraxinus,Oleaceae,Olive family,Scrophulariales,Asteridae,Magnoliopsida,,Magnoliophyta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRPE,,Fraxinus pennsylvanica Marshall,green ash,Fraxinus,Oleaceae,Olive family,Scrophulariales,Asteridae,Magnoliopsida,,Magnoliophyta,Tree,Spring and Summer,Yes,Green,Yes,Yellow-Green,Coarse,No,Single Crown,35,65,No,Short,Irregular,None,Yes,Yes,Yes,Medium,Medium,15,39,40,Tolerant,Late Spring,High,Spring,Summer,No,No,No,No
FRVE2,,Fraxinus velutina Torr.,velvet ash,Fraxinus,Oleaceae,Olive family,Scrophulariales,Asteridae,Magnoliopsida,,Magnoliophyta,Tree,Spring and Summer,Yes,Yellow,No,Green,Fine,No,Single Stem,30,40,No,Moderate,Erect,None,No,No,Yes,Medium,Low,12,20,24,Intolerant,Late Spring,High,Summer,Fall,No,No,No,No
GAOV,,Garrya ovata Benth.,eggleaf silktassel,Garrya,Garryaceae,Silk Tassel family,Cornales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAOVG,,Garrya ovata Benth. ssp. goldmanii (Wooton & Standl.) Dahling,Goldman's silktassel,Garrya,Garryaceae,Silk Tassel family,Cornales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAOVL,,Garrya ovata Benth. ssp. lindheimeri (Torr.) Dahling,Lindheimer's silktassel,Garrya,Garryaceae,Silk Tassel family,Cornales,Rosidae,Magnoliopsida,,Magnoliophyta,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAWR3,,Garrya wrightii Torr.,Wright's silktassel,Garrya,Garryaceae,Silk Tassel family,Cornales,Rosidae,Magnoliopsida,,Magnoliophyta,"Shrub, Tree","Spring, Summer, Fall",Yes,White,No,Green,Coarse,Yes,Multiple Stem,6,6,Yes,Long,Semi-Erect,None,Yes,Yes,No,High,Low,8,14,20,Intolerant,Late Spring,High,Summer,Fall,Yes,No,No,No
GLTE,,Gleditsia ×texana Sarg. (pro sp.),hybrid honeylocust,Gleditsia,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLAQ,,Gleditsia aquatica Marshall,water locust,Gleditsia,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",Spring,No,Green,No,Green,Fine,No,Single Stem,60,40,No,Long,Erect,Slight,Yes,Yes,Yes,None,,16,68,36,Intermediate,Mid Summer,Low,Fall,Winter,No,No,No,No
GLTR,,Gleditsia triacanthos L.,honeylocust,Gleditsia,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,"Shrub, Tree",Spring and Summer,Yes,Yellow,No,Green,Medium,Yes,Single Crown,35,70,No,Moderate,Rounded,None,No,Yes,Yes,High,Medium,20,70,48,Intolerant,Late Spring,High,Spring,Fall,Yes,No,No,No
GOHI,,Gossypium hirsutum L.,upland cotton,Gossypium,Malvaceae,Mallow family,Malvales,Dilleniidae,Magnoliopsida,,Magnoliophyta,"Tree, Subshrub, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOHIH2,,Gossypium hirsutum L. var. hirsutum,upland cotton,Gossypium,Malvaceae,Mallow family,Malvales,Dilleniidae,Magnoliopsida,,Magnoliophyta,"Subshrub, Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUAN,,Guaiacum angustifolium Engelm.,Texas lignum-vitae,Guaiacum,Zygophyllaceae,Creosote-bush family,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GYDI,,Gymnocladus dioicus (L.) K. Koch,Kentucky coffeetree,Gymnocladus,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Tree,Spring and Summer,No,White,Yes,Green,Coarse,Yes,,25,100,No,Long,Rounded,Severe,Yes,Yes,Yes,Medium,Medium,,,36,Intolerant,Early Summer,Medium,Fall,Spring,Yes,No,Yes,No
HADI3,,Halesia diptera Ellis,two-wing silverbell,Halesia,Styracaceae,Storax family,Ebenales,Dilleniidae,Magnoliopsida,,Magnoliophyta,"Tree, Shrub",Spring,Yes,White,Yes,Green,Coarse,No,Single Stem,,15,No,,Erect,,No,Yes,Yes,Low,,33,68,36,Intermediate,Spring,,,,No,No,No,Yes
